id,lat,lon
12425289011,38.9787,-94.6489
12425289012,38.9787,-94.6491
12425289013,38.9785,-94.6491
12425289014,38.9785,-94.6489
12425289015,38.9642,-94.6489
12425289016,39.0242,-94.6866
12425289017,38.9564,-94.7284
12425289018,38.9566,-94.7264
12425289019,38.9566,-94.7263
12425289020,38.9567,-94.7264
12425289021,38.9331,-94.6676
12425289022,38.931,-94.6678
12427661427,38.9856,-94.7799
12427690153,38.9711,-94.7286
12427690154,38.9711,-94.7286
12433921458,39.0146,-94.7097
12443054312,38.7617,-94.9641
12443054313,38.7819,-94.9634
12443054314,38.7823,-94.9635
12443054315,38.7822,-94.9639
12443054316,38.7818,-94.9639
12443054317,38.7822,-94.946
12443054318,38.7823,-94.9456
12443054319,38.782,-94.9456
12443054320,38.7819,-94.9459
12443054321,38.7868,-94.9277
12443054322,38.7864,-94.9277
12443054323,38.7866,-94.9272
12443054324,38.7868,-94.9272
12443054325,38.8109,-94.9276
12443054326,38.8109,-94.9273
12443054327,38.8112,-94.9274
12443054328,38.8111,-94.9277
12443054329,38.8121,-94.8907
12443054330,38.8117,-94.8906
12443054331,38.8117,-94.8902
12443054332,38.8122,-94.8902
12443725273,38.8526,-94.8159
12443725274,38.8526,-94.8159
12443725275,38.8527,-94.8156
12443725276,38.8527,-94.8156
12443725277,38.853,-94.8157
12443725278,38.8569,-94.8161
12443725279,38.8568,-94.8161
12443725280,38.857,-94.8158
12443725281,38.857,-94.8158
12443725282,38.8546,-94.8178
12443725283,38.8551,-94.8132
12443725284,38.8676,-94.8346
12443725285,38.8678,-94.8367
12443725286,38.8678,-94.8343
12443725287,38.8677,-94.8321
12443725288,38.8677,-94.8321
12443725289,38.8839,-94.8348
12443725290,38.8836,-94.8348
12443725291,38.8836,-94.8344
12443725292,38.8839,-94.8344
12443725293,38.8864,-94.8208
12443725294,38.8807,-94.8206
12443725295,38.897,-94.8386
12443725296,38.8972,-94.8382
12443725297,38.8972,-94.8382
12443725298,38.8837,-94.8075
12443725299,38.8839,-94.7923
12443725300,38.8838,-94.7923
12443726901,38.884,-94.7928
12443726902,38.8836,-94.7923
12443726903,38.8837,-94.7919
12443726904,38.8837,-94.7919
12443726905,38.8839,-94.7888
12443726906,38.8839,-94.7888
12443726907,38.8835,-94.7892
12443726908,38.8837,-94.7887
12443726909,38.8837,-94.7887
12443726910,38.913,-94.7727
12443726911,38.9129,-94.7725
12443726912,38.9129,-94.7725
12443726913,38.9126,-94.7727
12443726914,38.9126,-94.7696
12443726915,38.9126,-94.7696
12443726916,38.9126,-94.7696
12443726917,38.9133,-94.7696
12443726918,38.9133,-94.7697
12443726919,38.9132,-94.7694
12443726920,38.8809,-94.7625
12446546081,37.3447,-95.5318
12446551864,37.6821,-95.4213
12446565780,37.7338,-95.4575
12446567156,37.689,-95.4768
12446573080,37.3889,-95.508
12446574461,37.7318,-95.4612
12446666528,37.0417,-95.5927
12453772540,39.0422,-94.5914
12459737897,38.8839,-94.7608
12459737898,38.8839,-94.7608
12459737899,38.8837,-94.7613
12459737900,38.8837,-94.7613
12459762601,38.8834,-94.7612
12459762602,38.8834,-94.7612
12459762603,38.8836,-94.7607
12459762604,38.8836,-94.7607
12459762605,38.8818,-94.6616
12459762606,38.8818,-94.6613
12459762607,38.8818,-94.6611
12459762608,38.8818,-94.6606
12459762609,38.881,-94.6615
12459762610,38.8837,-94.6713
12459762611,38.8834,-94.6494
12459762612,38.8838,-94.6496
12459762613,38.8693,-94.6122
12461781623,39.5333,-94.7871
12497345997,37.6778,-97.4273
12560701225,37.5628,-97.2443
12648084744,38.8375,-94.7592
12648084745,38.8377,-94.7587
12663212892,38.9194,-94.6607
12663738366,39.0084,-94.8397
12669422393,38.9391,-97.2139
12669442060,38.9299,-97.2133
12669442125,39.2477,-96.6289
12670235153,38.827,-97.6383
12670253554,38.7835,-97.6114
12670265600,38.8753,-97.6126
12670275367,38.7979,-97.617
12670287680,38.7821,-97.6124
12670297526,38.7723,-97.613
12670317816,38.8639,-97.6126
12670342093,37.6639,-97.5983
12752348126,37.2902,-97.3943
12759451194,38.877,-97.5237
12759472662,38.7835,-97.6144
12759507495,38.7838,-97.6148
